,"6.0","6.0.1","6.1","6.1.1","6.2","6.3","6.3.1","6.3.2","6.4","7.0","7.0.1","7.1","7.1.1","7.2","7.2.1","7.3","7.3.1","8.0","8.1","8.2","8.2.1","8.3","8.3.1","8.3.2","8.3.3","9.0","9.0.1","9.1","9.2","9.3"
"1.0",,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.1",,,y,y,y,,,,,,,,,,,,,,,,,,,,,,,,,
"1.2",,,,,,y,y,y,y,,,,,,,,,,,,,,,,,,,,,
"2.0",,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,,
"2.1",,,,,,,,,,,,y,y,,,,,,,,,,,,,,,,,
"2.1.1",,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,
"2.2",,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,
"2.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.0",,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,
"3.0.1",,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,
"3.0.2",,,,,,,,,,,,,,,,,,,,y,y,,,,,,,,,
"3.1",,,,,,,,,,,,,,,,,,,,,,y,y,y,y,,,,,
"3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.0",,,,,,,,,,,,,,,,,,,,,,,,,,y,y,,,
"4.0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,
"4.0.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,
"4.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y
